model,fpr_target,threshold,AUROC_defect_screening,TPR_defect@FPR,FPR_normal_realized,runtime_sec,notes,
0,cflow_encoder_knn_stage1,0.05,12.779796,0.825146,0.36625,0.08,32.30874,stable fallback: timm wide_resnet50_2 features...
1,cflow_encoder_knn_stage1,0.1,11.514797,0.825146,0.54375,0.153333,32.30874,stable fallback: timm wide_resnet50_2 features...
2,cflow_encoder_knn_stage1,0.2,9.670157,0.825146,0.75125,0.266667,32.30874,stable fallback: timm wide_resnet50_2 features...
3,patchcore_repo_baseline,0.05,6.129385,0.454025,0.00625,0.033333,1475.866652,repo src.patchcore.patchcore_simple
4,patchcore_repo_baseline,0.1,5.566231,0.454025,0.0175,0.086667,1475.866652,repo src.patchcore.patchcore_simple
5,patchcore_repo_baseline,0.2,5.242033,0.454025,0.03875,0.12,1475.866652,repo src.patchcore.patchcore_simple
6,rd4ad_knn_stage1,0.05,0.643866,0.822483,0.3775,0.07,32.745523,official RD4AD encoder features + kNN scorer
7,rd4ad_knn_stage1,0.1,0.585331,0.822483,0.50875,0.123333,32.745523,official RD4AD encoder features + kNN scorer
8,rd4ad_knn_stage1,0.2,0.501625,0.822483,0.7275,0.243333,32.745523,official RD4AD encoder features + kNN scorer
9,simplenet_stage1,0.05,3.928524,0.784517,0.21375,0.05,24.632316,fallback: resnet18 encoder + kNN
10,simplenet_stage1,0.1,3.416518,0.784517,0.395,0.113333,24.632316,fallback: resnet18 encoder + kNN
11,simplenet_stage1,0.2,2.783828,0.784517,0.6875,0.26,24.632316,fallback: resnet18 encoder + kNN